2024-06-17 19:48:52 install libstdc++6:amd64 <none> 8.3.0-6
2024-06-17 19:48:52 status half-installed libstdc++6:amd64 8.3.0-6
2024-06-17 19:48:52 status unpacked libstdc++6:amd64 8.3.0-6
2024-06-17 19:48:52 install libsystemd0:amd64 <none> 241-7~deb10u8
2024-06-17 19:48:52 status half-installed libsystemd0:amd64 241-7~deb10u8
2024-06-17 19:48:52 status unpacked libsystemd0:amd64 241-7~deb10u8
2024-06-17 19:48:52 install libtasn1-6:amd64 <none> 4.13-3
2024-06-17 19:48:52 status half-installed libtasn1-6:amd64 4.13-3
2024-06-17 19:48:52 status unpacked libtasn1-6:amd64 4.13-3
2024-06-17 19:48:52 install libtinfo6:amd64 <none> 6.1+20181013-2+deb10u2
2024-06-17 19:48:52 status half-installed libtinfo6:amd64 6.1+20181013-2+deb10u2
2024-06-17 19:48:52 status unpacked libtinfo6:amd64 6.1+20181013-2+deb10u2
2024-06-17 19:48:52 install libudev1:amd64 <none> 241-7~deb10u8
2024-06-17 19:48:52 status half-installed libudev1:amd64 241-7~deb10u8
2024-06-17 19:48:52 status unpacked libudev1:amd64 241-7~deb10u8
2024-06-17 19:48:52 install libunistring2:amd64 <none> 0.9.10-1
2024-06-17 19:48:52 status half-installed libunistring2:amd64 0.9.10-1
2024-06-17 19:48:52 status unpacked libunistring2:amd64 0.9.10-1
2024-06-17 19:48:52 install libuuid1:amd64 <none> 2.33.1-0.1
2024-06-17 19:48:52 status half-installed libuuid1:amd64 2.33.1-0.1
2024-06-17 19:48:52 status unpacked libuuid1:amd64 2.33.1-0.1
2024-06-17 19:48:52 install libzstd1:amd64 <none> 1.3.8+dfsg-3+deb10u2
2024-06-17 19:48:52 status half-installed libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2024-06-17 19:48:52 status unpacked libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2024-06-17 19:48:52 install login:amd64 <none> 1:4.5-1.1
2024-06-17 19:48:52 status half-installed login:amd64 1:4.5-1.1
2024-06-17 19:48:53 status unpacked login:amd64 1:4.5-1.1
2024-06-17 19:48:53 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2024-06-17 19:48:53 status half-configured mawk:amd64 1.3.3-17+b3
2024-06-17 19:48:53 status unpacked mawk:amd64 1.3.3-17+b3
2024-06-17 19:48:53 status half-installed mawk:amd64 1.3.3-17+b3
2024-06-17 19:48:53 status unpacked mawk:amd64 1.3.3-17+b3
2024-06-17 19:48:53 install mount:amd64 <none> 2.33.1-0.1
2024-06-17 19:48:53 status half-installed mount:amd64 2.33.1-0.1
2024-06-17 19:48:53 status unpacked mount:amd64 2.33.1-0.1
2024-06-17 19:48:53 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2024-06-17 19:48:53 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2024-06-17 19:48:53 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2024-06-17 19:48:53 install ncurses-bin:amd64 <none> 6.1+20181013-2+deb10u2
2024-06-17 19:48:53 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u2
2024-06-17 19:48:53 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u2
2024-06-17 19:48:53 install passwd:amd64 <none> 1:4.5-1.1
2024-06-17 19:48:53 status half-installed passwd:amd64 1:4.5-1.1
2024-06-17 19:48:53 status unpacked passwd:amd64 1:4.5-1.1
2024-06-17 19:48:53 upgrade perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2024-06-17 19:48:53 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2024-06-17 19:48:53 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2024-06-17 19:48:53 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2024-06-17 19:48:53 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2024-06-17 19:48:53 install sed:amd64 <none> 4.7-1
2024-06-17 19:48:53 status half-installed sed:amd64 4.7-1
2024-06-17 19:48:54 status unpacked sed:amd64 4.7-1
2024-06-17 19:48:54 install sysvinit-utils:amd64 <none> 2.93-8
2024-06-17 19:48:54 status half-installed sysvinit-utils:amd64 2.93-8
2024-06-17 19:48:54 status unpacked sysvinit-utils:amd64 2.93-8
2024-06-17 19:48:54 install tar:amd64 <none> 1.30+dfsg-6
2024-06-17 19:48:54 status half-installed tar:amd64 1.30+dfsg-6
2024-06-17 19:48:54 status unpacked tar:amd64 1.30+dfsg-6
2024-06-17 19:48:54 install tzdata:all <none> 2021a-0+deb10u6
2024-06-17 19:48:54 status half-installed tzdata:all 2021a-0+deb10u6
2024-06-17 19:48:54 status unpacked tzdata:all 2021a-0+deb10u6
2024-06-17 19:48:54 install util-linux:amd64 <none> 2.33.1-0.1
2024-06-17 19:48:54 status half-installed util-linux:amd64 2.33.1-0.1
2024-06-17 19:48:55 status unpacked util-linux:amd64 2.33.1-0.1
2024-06-17 19:48:55 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1+deb10u1
2024-06-17 19:48:55 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1+deb10u1
2024-06-17 19:48:55 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1+deb10u1
2024-06-17 19:48:55 startup packages configure
2024-06-17 19:48:55 configure debian-archive-keyring:all 2019.1+deb10u1 <none>
2024-06-17 19:48:55 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2024-06-17 19:48:55 status half-configured debian-archive-keyring:all 2019.1+deb10u1
2024-06-17 19:48:55 status installed debian-archive-keyring:all 2019.1+deb10u1
2024-06-17 19:48:55 configure libaudit-common:all 1:2.8.4-3 <none>
2024-06-17 19:48:55 status unpacked libaudit-common:all 1:2.8.4-3
2024-06-17 19:48:55 status half-configured libaudit-common:all 1:2.8.4-3
2024-06-17 19:48:55 status installed libaudit-common:all 1:2.8.4-3
2024-06-17 19:48:55 configure libsemanage-common:all 2.8-2 <none>
2024-06-17 19:48:55 status unpacked libsemanage-common:all 2.8-2
2024-06-17 19:48:55 status half-configured libsemanage-common:all 2.8-2
2024-06-17 19:48:55 status installed libsemanage-common:all 2.8-2
2024-06-17 19:48:55 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2024-06-17 19:48:55 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2024-06-17 19:48:55 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2024-06-17 19:48:55 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2024-06-17 19:48:55 configure gcc-8-base:amd64 8.3.0-6 <none>
2024-06-17 19:48:55 status unpacked gcc-8-base:amd64 8.3.0-6
2024-06-17 19:48:55 status half-configured gcc-8-base:amd64 8.3.0-6
2024-06-17 19:48:55 status installed gcc-8-base:amd64 8.3.0-6
2024-06-17 19:48:55 configure libc6:amd64 2.28-10+deb10u1 <none>
2024-06-17 19:48:55 status unpacked libc6:amd64 2.28-10+deb10u1
2024-06-17 19:48:55 status half-configured libc6:amd64 2.28-10+deb10u1
2024-06-17 19:48:55 status installed libc6:amd64 2.28-10+deb10u1
2024-06-17 19:48:55 configure libudev1:amd64 241-7~deb10u8 <none>
2024-06-17 19:48:55 status unpacked libudev1:amd64 241-7~deb10u8
2024-06-17 19:48:55 status half-configured libudev1:amd64 241-7~deb10u8
2024-06-17 19:48:55 status installed libudev1:amd64 241-7~deb10u8
2024-06-17 19:48:55 configure libsepol1:amd64 2.8-1 <none>
2024-06-17 19:48:55 status unpacked libsepol1:amd64 2.8-1
2024-06-17 19:48:55 status half-configured libsepol1:amd64 2.8-1
2024-06-17 19:48:55 status installed libsepol1:amd64 2.8-1
2024-06-17 19:48:55 configure libattr1:amd64 1:2.4.48-4 <none>
2024-06-17 19:48:55 status unpacked libattr1:amd64 1:2.4.48-4
2024-06-17 19:48:55 status half-configured libattr1:amd64 1:2.4.48-4
2024-06-17 19:48:55 status installed libattr1:amd64 1:2.4.48-4
2024-06-17 19:48:55 configure libtasn1-6:amd64 4.13-3 <none>
2024-06-17 19:48:55 status unpacked libtasn1-6:amd64 4.13-3
2024-06-17 19:48:55 status half-configured libtasn1-6:amd64 4.13-3
2024-06-17 19:48:55 status installed libtasn1-6:amd64 4.13-3
2024-06-17 19:48:55 configure debianutils:amd64 4.8.6.1 <none>
2024-06-17 19:48:55 status unpacked debianutils:amd64 4.8.6.1
2024-06-17 19:48:55 status half-configured debianutils:amd64 4.8.6.1
2024-06-17 19:48:55 status installed debianutils:amd64 4.8.6.1
2024-06-17 19:48:55 configure mawk:amd64 1.3.3-17+b3 <none>
2024-06-17 19:48:55 status unpacked mawk:amd64 1.3.3-17+b3
2024-06-17 19:48:55 status half-configured mawk:amd64 1.3.3-17+b3
2024-06-17 19:48:55 status installed mawk:amd64 1.3.3-17+b3
2024-06-17 19:48:55 configure libdebconfclient0:amd64 0.249 <none>
2024-06-17 19:48:55 status unpacked libdebconfclient0:amd64 0.249
2024-06-17 19:48:55 status half-configured libdebconfclient0:amd64 0.249
2024-06-17 19:48:55 status installed libdebconfclient0:amd64 0.249
2024-06-17 19:48:55 configure base-files:amd64 10.3+deb10u13 <none>
